date,lastSyncTime,steps,distance,runDistance,calories
2019-11-30,1575256876,900,589,90,22
2019-12-01,1575781430,13561,9592,749,345
2019-12-02,1575781430,5083,3632,138,124
2019-12-03,1575781428,7875,5349,343,193
2019-12-04,1575781427,2575,1905,29,67
2019-12-05,1575781429,10043,7021,252,247
2019-12-06,1575781428,10163,7170,309,249
2019-12-07,1575781427,0,0,0,0
2019-12-08,1576476808,5994,4171,268,150
2019-12-09,1576476808,4087,2955,74,102
2019-12-10,1576476811,0,0,0,0
2019-12-11,1576476811,9112,6134,465,220
2019-12-12,1576476812,6091,4237,163,151
2019-12-13,1576476812,6022,4267,214,156
2019-12-14,1576476809,0,0,0,0
2019-12-15,1576476809,10589,7486,483,275
2019-12-16,1576669137,7383,5074,248,178
2019-12-17,1576669136,8941,6078,275,205
2019-12-18,1577029640,8358,5807,415,206
2019-12-19,1577029638,10193,7106,276,252
2019-12-20,1577029649,7518,5159,251,179
2019-12-21,1577029645,9096,6193,397,226
2019-12-22,1577029642,10734,7394,293,257
2019-11-30,1575256876,900,589,90,22
2019-12-01,1575781430,13561,9592,749,345
2019-12-02,1575781430,5083,3632,138,124
2019-12-03,1575781428,7875,5349,343,193
2019-12-04,1575781427,2575,1905,29,67
2019-12-05,1575781429,10043,7021,252,247
2019-12-06,1575781428,10163,7170,309,249
2019-12-07,1575781427,0,0,0,0
2019-12-08,1576476808,5994,4171,268,150
2019-12-09,1576476808,4087,2955,74,102
2019-12-10,1576476811,0,0,0,0
2019-12-11,1576476811,9112,6134,465,220
2019-12-12,1576476812,6091,4237,163,151
2019-12-13,1576476812,6022,4267,214,156
2019-12-14,1576476809,0,0,0,0
2019-12-15,1576476809,10589,7486,483,275
2019-12-16,1576669137,7383,5074,248,178
2019-12-17,1576669136,8941,6078,275,205
2019-12-18,1577029640,8358,5807,415,206
2019-12-19,1577029638,10193,7106,276,252
2019-12-20,1577029649,7518,5159,251,179
2019-12-21,1577029645,9096,6193,397,226
2019-12-22,1577029642,10734,7394,293,257
