date,lastSyncTime,steps,distance,runDistance,calories
2020-02-23,1582506480,6114,4053,393,126
2020-02-24,1582657561,14300,10073,812,332
2020-02-25,1582657561,4691,3020,350,94
2020-02-26,1582766281,13241,9014,967,294
2020-02-27,1583323484,10501,7236,640,237
2020-02-28,1583323488,4373,2843,259,88
2020-02-29,1583323491,7882,5613,288,183
2020-03-01,1583323497,13334,9252,698,296
2020-03-02,1583323505,10658,7414,724,257
2020-03-03,1583323532,9388,6551,528,221
2020-03-04,1583463120,10835,7342,986,233
2020-03-05,1583463121,12757,8755,561,287
2020-03-06,1583469540,1944,1285,115,40
2020-02-23,1582506480,6114,4053,393,126
2020-02-24,1582657561,14300,10073,812,332
2020-02-25,1582657561,4691,3020,350,94
2020-02-26,1582766281,13241,9014,967,294
2020-02-27,1583323484,10501,7236,640,237
2020-02-28,1583323488,4373,2843,259,88
2020-02-29,1583323491,7882,5613,288,183
2020-03-01,1583323497,13334,9252,698,296
2020-03-02,1583323505,10658,7414,724,257
2020-03-03,1583323532,9388,6551,528,221
2020-03-04,1583463120,10835,7342,986,233
2020-03-05,1583463121,12757,8755,561,287
2020-03-06,1583469540,1944,1285,115,40
