date,lastSyncTime,steps,distance,runDistance,calories
2019-07-01,1562035400,7804,5868,203,197
2019-07-02,1562124981,5972,3923,389,126
2019-07-03,1562385534,7053,4638,480,154
2019-07-04,1562385534,5100,3348,434,114
2019-07-05,1562385535,15153,10467,614,339
2019-07-06,1562471807,3761,2459,293,81
2019-07-07,1562549020,5740,3801,359,124
2019-07-08,1562727990,12267,8837,634,296
2019-07-09,1562727990,11124,7708,571,256
2019-07-10,1562901461,19598,14130,1848,483
2019-07-11,1562901461,12027,8586,449,292
2019-07-12,1562991697,7745,5332,360,177
2019-07-13,1563608840,7268,5113,370,173
2019-07-14,1563608840,15818,11350,603,386
2019-07-15,1563608841,4389,2926,395,100
2019-07-16,1563608841,13187,9158,650,301
2019-07-17,1563608841,11473,7913,652,252
2019-07-18,1563608841,13459,9180,662,293
2019-07-19,1563608842,13913,9627,536,312
2019-07-20,1564193913,2503,1637,214,56
2019-07-21,1564193913,12022,8306,482,270
2019-07-22,1564193913,14647,10360,624,343
2019-07-23,1564193914,12460,8690,747,289
2019-07-24,1564193914,14679,10387,821,361
2019-07-25,1564193914,5676,3820,453,123
2019-07-26,1564193915,17445,12255,879,411
2019-07-27,1564330178,4483,2938,321,95
2019-07-28,1564630817,12100,8426,760,282
2019-07-29,1564630817,12194,8433,760,278
2019-07-30,1564630817,15874,11346,615,384
2019-07-31,1564630817,6475,4330,334,135
2019-08-01,1564757639,6543,4319,515,144
2019-08-02,1564980444,10192,7237,488,244
2019-08-03,1564980445,7809,5204,562,165
2019-08-04,1564980444,8889,6292,397,211
2019-08-05,1565383088,7172,4904,470,165
2019-08-06,1565383089,6324,4172,512,138
2019-08-07,1565383089,5499,3612,383,115
2019-08-08,1565383090,8083,5545,377,180
2019-08-09,1565383090,7641,5340,410,177
2019-08-10,1565499289,3809,2501,277,84
2019-08-11,1565842664,7378,5129,379,173
2019-08-12,1565842664,5352,3524,439,111
2019-08-13,1565842664,4741,3136,255,100
2019-08-14,1565842665,10204,7142,465,238
2019-08-15,1565927900,3775,2476,314,80
2019-08-16,1565983188,4485,2973,306,98
2019-08-17,1566089994,4496,2943,446,97
2019-08-18,1566181812,12795,9122,559,308
2019-08-19,1566359534,6006,4173,430,145
2019-08-20,1566359535,4530,3006,291,100
2019-08-21,1566618734,3853,2547,289,83
2019-08-22,1566618734,10203,7071,545,232
2019-08-23,1566618734,6153,4082,444,131
2019-08-24,1566706855,4452,2911,322,93
2019-08-25,1567313475,5025,3297,521,110
2019-08-26,1567313475,11913,8158,681,267
2019-08-27,1567313475,4545,2977,362,100
2019-08-28,1567313475,5046,3363,366,106
2019-08-29,1567313476,4223,2813,381,89
2019-08-30,1567313476,9024,6321,531,215
2019-08-31,1567313476,7185,4922,308,163
2019-09-01,1567572412,7635,5292,470,174
2019-09-02,1567572413,5705,3746,378,126
2019-09-03,1567572413,12899,9155,685,300
2019-09-04,1567654988,4414,2942,349,98
2019-09-05,1567743980,10672,7623,505,254
2019-09-06,1567827112,4666,3070,381,100
2019-09-07,1568003532,4807,3179,393,103
2019-09-08,1568003533,7081,4821,466,160
2019-09-09,1568091768,6669,4411,461,141
2019-09-10,1568175915,4245,2821,378,95
2019-09-11,1568355735,3933,2653,435,91
2019-09-12,1568355735,6110,4167,257,139
2019-09-13,1568521616,5504,3640,311,119
2019-09-14,1568521616,3658,2400,316,79
2019-09-15,1568692207,13406,9650,414,323
2019-09-16,1569123914,10251,7186,567,235
2019-09-17,1569123914,5300,3557,449,118
2019-09-18,1569123915,13349,9229,594,303
2019-09-19,1569123915,15195,10327,550,333
2019-09-20,1569123915,5530,3656,475,122
2019-09-21,1569123915,3521,2336,338,79
2019-09-22,1569215597,9538,6624,603,219
2019-09-23,1569301574,7171,4918,396,164
2019-09-24,1569384534,9065,6356,411,208
2019-09-25,1569729339,5139,3396,293,110
2019-09-26,1569729339,15301,10428,740,337
2019-09-27,1569729339,5254,3487,416,115
2019-09-28,1569729339,6283,4158,335,130
2019-09-29,1569919536,6882,4576,482,148
2019-09-30,1569919536,13832,9962,412,326
2019-10-01,1570034733,4183,2743,453,97
2019-10-02,1570076099,5328,3486,302,111
2019-10-03,1570162437,4560,2986,365,96
2019-10-04,1571459129,14682,10650,581,360
2019-10-05,1571459130,5239,3442,446,113
2019-10-06,1571459130,14124,9815,346,317
2019-10-07,1571459130,3725,2438,223,82
2019-10-08,1571459130,5359,3564,454,129
2019-10-09,1571459131,5268,3462,260,111
2019-10-10,1571459131,3674,2408,259,79
2019-10-11,1571459131,5377,3521,392,116
2019-10-12,1571459131,10278,7241,418,233
