date,heartRate
7/1/2019,73
7/2/2019,82
7/3/2019,71
7/4/2019,66
7/5/2019,106
7/6/2019,65
7/7/2019,65
7/8/2019,116
7/9/2019,78
7/10/2019,120
7/11/2019,104
7/12/2019,71
7/13/2019,70
7/14/2019,68
7/15/2019,64
7/16/2019,64
7/17/2019,104
7/18/2019,86
7/19/2019,102
7/20/2019,86
7/21/2019,78
7/22/2019,115
7/23/2019,79
7/24/2019,71
7/25/2019,63
7/26/2019,94
7/27/2019,96
7/28/2019,80
7/29/2019,98
7/30/2019,64
7/31/2019,74
8/1/2019,55
8/2/2019,55
8/3/2019,73
8/4/2019,93
8/5/2019,73
8/6/2019,74
8/7/2019,56
8/8/2019,105
8/9/2019,93
8/10/2019,93
8/11/2019,132
8/12/2019,121
8/13/2019,74
8/14/2019,55
8/15/2019,97
8/16/2019,54
8/17/2019,80
8/18/2019,48
8/19/2019,64
8/20/2019,76
8/21/2019,106
8/22/2019,94
8/23/2019,55
8/24/2019,81
8/25/2019,73
8/26/2019,86
8/27/2019,74
8/28/2019,89
8/29/2019,88
8/30/2019,76
8/31/2019,94
9/1/2019,75
9/2/2019,77
9/3/2019,94
9/4/2019,86
9/5/2019,81
9/6/2019,72
9/7/2019,86
9/8/2019,106
9/9/2019,94
9/10/2019,55
9/11/2019,81
9/12/2019,73
9/13/2019,86
9/14/2019,74
9/15/2019,106
9/16/2019,94
9/17/2019,65
9/18/2019,81
9/19/2019,73
9/20/2019,86
9/21/2019,74
9/22/2019,86
9/23/2019,81
9/24/2019,72
9/25/2019,86
9/26/2019,74
9/27/2019,55
9/28/2019,55
9/29/2019,73
9/30/2019,93
10/1/2019,73
10/2/2019,74
10/3/2019,56
10/4/2019,105
10/5/2019,93
10/6/2019,74
10/7/2019,55
10/8/2019,74
10/9/2019,56
10/10/2019,105
10/11/2019,93
10/12/2019,74
10/13/2019,55
10/14/2019,105
10/15/2019,93
10/16/2019,80
10/17/2019,98
10/18/2019,64
10/19/2019,74
10/20/2019,55
10/21/2019,55
10/22/2019,73
10/23/2019,93
10/24/2019,73
10/25/2019,74
10/26/2019,56
10/27/2019,105
10/28/2019,93
10/29/2019,93
10/30/2019,132
10/31/2019,121
11/1/2019,74
11/2/2019,55
11/3/2019,97
11/4/2019,54
11/5/2019,80
11/6/2019,48
11/7/2019,64
11/8/2019,76
11/9/2019,102
11/10/2019,86
11/11/2019,78
11/12/2019,115
11/13/2019,79
11/14/2019,102
11/15/2019,86
11/16/2019,78
11/17/2019,115
11/18/2019,79
11/19/2019,71
11/20/2019,63
11/21/2019,94
11/22/2019,74
11/23/2019,55
11/24/2019,55
11/25/2019,73
11/26/2019,93
11/27/2019,73
11/28/2019,74
11/29/2019,56
11/30/2019,105
12/1/2019,93
12/2/2019,79
12/3/2019,102
12/4/2019,86
12/5/2019,78
12/6/2019,79
12/7/2019,102
12/8/2019,86
12/9/2019,78
12/10/2019,115
12/11/2019,79
12/12/2019,102
12/13/2019,86
12/14/2019,78
12/15/2019,115
12/16/2019,79
12/17/2019,112
12/18/2019,98
12/19/2019,86
12/20/2019,78
12/21/2019,115
12/22/2019,79
12/23/2019,71
12/24/2019,63
12/25/2019,94
12/26/2019,102
12/27/2019,86
12/28/2019,78
12/29/2019,115
12/30/2019,79
12/31/2019,71
1/1/2020,63
1/2/2020,94
1/3/2020,115
1/4/2020,79
1/5/2020,71
1/6/2020,63
1/7/2020,94
1/8/2020,73
1/9/2020,74
1/10/2020,71
1/11/2020,63
1/12/2020,94
1/13/2020,55
1/14/2020,73
1/15/2020,93
1/16/2020,73
1/17/2020,73
1/18/2020,93
1/19/2020,73
1/20/2020,74
1/21/2020,73
1/22/2020,115
1/23/2020,79
1/24/2020,71
1/25/2020,63
1/26/2020,94
1/27/2020,55
1/28/2020,73
1/29/2020,93
1/30/2020,73
1/31/2020,74
2/1/2020,66
