date,time,heartRate
2/23/2020,12:24,78
2/23/2020,21:36,74
2/23/2020,21:37,70
2/23/2020,21:38,71
2/23/2020,21:39,79
2/23/2020,21:40,92
2/23/2020,21:41,95
2/23/2020,21:42,93
2/23/2020,21:43,93
2/23/2020,21:44,89
2/23/2020,21:45,87
2/23/2020,21:46,91
2/23/2020,21:47,85
2/23/2020,21:48,94
2/23/2020,21:49,94
2/23/2020,21:50,92
2/23/2020,21:51,96
2/23/2020,21:52,107
2/23/2020,21:53,92
2/23/2020,21:54,95
2/23/2020,21:55,104
2/23/2020,21:56,93
2/23/2020,21:57,95
2/23/2020,21:58,108
2/23/2020,21:59,99
2/23/2020,22:00,79
2/23/2020,22:01,86
2/23/2020,22:02,86
2/23/2020,22:03,85
2/23/2020,22:04,95
2/23/2020,22:05,93
2/23/2020,22:06,88
2/23/2020,22:07,100
2/23/2020,22:08,102
2/23/2020,22:09,98
2/23/2020,22:10,89
2/23/2020,22:11,88
2/23/2020,22:12,86
2/23/2020,22:13,96
2/23/2020,22:14,99
2/23/2020,22:15,93
2/23/2020,22:16,94
2/23/2020,22:17,81
2/23/2020,22:18,86
2/26/2020,12:23,85
2/26/2020,18:40,102
2/27/2020,18:03,77
2/29/2020,11:37,86
3/1/2020,12:14,106
3/1/2020,12:16,76
3/1/2020,16:06,77
3/1/2020,19:08,79
3/1/2020,19:09,79
3/1/2020,23:06,95
3/2/2020,12:13,71
3/2/2020,17:12,75
3/2/2020,23:00,83
3/3/2020,7:53,75
3/3/2020,15:52,71
3/3/2020,19:28,78
3/4/2020,7:51,106
3/4/2020,11:52,78
3/4/2020,14:53,78
3/4/2020,16:51,88
3/4/2020,16:52,89
3/5/2020,12:27,79
3/5/2020,12:28,76
3/5/2020,14:55,71
3/5/2020,15:06,80
3/5/2020,15:07,78
3/5/2020,15:43,71
3/6/2020,14:39,77
