date,time,heartRate
2019-11-30,14:54,85
2019-11-30,14:55,79
2019-11-30,14:56,79
2019-11-30,15:00,72
2019-11-30,15:06,86
2019-11-30,15:07,87
2019-11-30,15:09,98
2019-11-30,16:26,84
2019-11-30,19:19,70
2019-11-30,20:20,60
2019-11-30,20:21,67
2019-11-30,20:22,70
2019-12-01,05:47,79
2019-12-01,05:48,74
2019-12-01,07:54,84
2019-12-01,08:36,106
2019-12-01,08:38,106
2019-12-01,11:26,48
2019-12-01,11:27,70
2019-12-01,11:28,106
2019-12-01,13:36,94
2019-12-02,16:20,85
2019-12-02,16:21,87
2019-12-03,13:13,78
2019-12-03,13:19,80
2019-12-03,16:38,76
2019-12-03,18:31,81
2019-12-03,22:57,84
2019-12-05,09:16,77
2019-12-05,09:17,84
2019-12-05,11:47,78
2019-12-05,14:57,84
2019-12-05,17:52,100
2019-12-05,17:59,85
2019-12-06,12:59,93
2019-12-06,13:11,78
2019-12-06,14:39,76
2019-12-06,18:26,94
2019-12-06,18:48,125
2019-12-08,06:44,75
2019-12-08,06:45,106
2019-12-08,07:24,81
2019-12-08,08:12,80
2019-12-08,08:32,78
2019-12-08,10:45,86
2019-12-09,08:38,106
2019-12-09,09:22,85
2019-12-09,11:37,101
2019-12-11,10:38,80
2019-12-11,15:05,91
2019-12-11,20:35,66
2019-12-11,20:36,69
2019-12-12,07:47,76
2019-12-12,11:52,83
2019-12-12,11:53,83
2019-12-12,19:01,73
2019-12-12,19:12,60
2019-12-12,19:13,62
2019-12-13,06:57,85
2019-12-13,09:21,69
2019-12-15,06:02,81
2019-12-15,06:29,85
2019-12-16,01:11,66
2019-12-17,00:14,80
2019-12-17,06:48,85
2019-12-17,07:45,101
2019-12-17,22:09,94
2019-12-18,04:44,77
2019-12-18,17:23,83
2019-12-19,07:18,77
2019-12-21,09:05,94
2019-12-21,11:18,81
2019-12-22,12:35,86
2019-12-22,21:31,83
2019-12-23,13:23,79
2019-12-23,19:48,83
2019-12-23,21:34,81
2019-12-24,07:31,74
2019-12-24,07:32,76
2019-12-24,09:30,69
2019-12-24,13:15,75
2019-12-26,16:38,71
2019-12-26,16:39,74
2019-12-26,22:34,86
2019-12-27,07:59,101
2019-12-27,10:37,71
2019-12-27,17:16,76
2019-12-27,21:28,78
2019-12-27,21:29,77
2019-12-28,10:14,74
2019-12-28,16:22,78
2019-12-29,18:19,84
2019-12-29,18:29,80
2019-12-29,18:51,77
2019-12-29,18:52,79
2019-12-30,19:50,86
2019-12-30,19:51,85
2019-12-31,22:51,70
2020-01-02,00:36,67
2020-01-02,15:32,106
2020-01-03,07:06,71
2020-01-03,07:20,75
2020-01-03,23:52,82
2020-01-04,17:56,77
2020-01-05,06:59,81
2020-01-05,22:10,75
2020-01-07,00:15,75
2020-01-07,09:34,86
2020-01-07,09:58,87
2020-01-07,22:36,65
2020-01-07,22:37,69
2020-01-08,03:41,77
2020-01-08,10:51,84
2020-01-09,08:11,94
2020-01-10,07:13,67
2020-01-10,07:14,67
2020-01-11,11:32,77
2020-01-12,13:51,117
2020-01-13,00:04,95
2020-01-13,16:22,95
2020-01-14,08:30,113
2020-01-14,13:21,75
2020-01-14,20:58,80
2020-01-14,20:59,84
2020-01-15,09:40,108
2020-01-15,11:49,123
2020-01-15,12:40,80
2020-01-15,19:43,69
2020-01-16,06:08,74
2020-01-17,15:54,71
2020-01-18,16:55,118
2020-01-18,16:56,117
2020-01-19,14:09,116
2020-01-20,13:27,78
2020-01-21,13:24,63
2020-01-22,13:51,82
2020-01-23,12:51,117
2020-01-23,22:10,71
2020-01-24,22:31,76
2020-01-25,13:55,76
2020-01-25,22:51,84
2020-01-26,07:04,71
2020-01-26,20:16,86
2020-01-26,20:17,86
2020-01-29,10:13,79
2020-01-29,10:14,75
2020-01-29,10:16,94
2020-01-30,06:08,86
2020-01-30,06:09,81
2020-01-31,05:40,70
2020-01-31,05:41,68
2020-02-01,19:48,102
