date,lastSyncTime,deepSleepTime,shallowSleepTime,wakeTime,start,stop
2019-11-30,1575256876,0,0,0,1574964900,1574964900
2019-12-01,1575781430,197,318,0,1575126900,1575157800
2019-12-02,1575781430,0,0,0,1575137700,1575137700
2019-12-03,1575781428,0,0,0,1575224100,1575224100
2019-12-04,1575781427,142,225,0,1575398100,1575420120
2019-12-05,1575781429,0,0,0,1575396900,1575396900
2019-12-06,1575781428,0,0,0,1575483300,1575483300
2019-12-07,1575781427,0,0,0,1575569700,1575569700
2019-12-08,1576476808,0,0,0,1575656100,1575656100
2019-12-09,1576476808,0,0,0,1575742500,1575742500
2019-12-10,1576476811,0,0,0,1575828900,1575828900
2019-12-11,1576476811,0,0,0,1575915300,1575915300
2019-12-12,1576476812,207,303,0,1576083780,1576114380
2019-12-13,1576476812,96,424,36,1576165560,1576198920
2019-12-14,1576476809,0,0,0,1576174500,1576174500
2019-12-15,1576476809,0,0,0,1576260900,1576260900
2019-12-16,1576669137,93,181,41,1576438200,1576457100
2019-12-17,1576669136,122,246,0,1576521360,1576543440
2019-12-18,1577029640,28,188,16,1576608420,1576622340
2019-12-19,1577029638,124,165,0,1576695960,1576713300
2019-12-20,1577029649,236,268,35,1576778220,1576810560
2019-12-21,1577029645,123,390,0,1576855920,1576886700
2019-12-22,1577029642,130,156,0,1576953060,1576970220
2019-11-30,1575256876,0,0,0,1574964900,1574964900
2019-12-01,1575781430,197,318,0,1575126900,1575157800
2019-12-02,1575781430,0,0,0,1575137700,1575137700
2019-12-03,1575781428,0,0,0,1575224100,1575224100
2019-12-04,1575781427,142,225,0,1575398100,1575420120
2019-12-05,1575781429,0,0,0,1575396900,1575396900
2019-12-06,1575781428,0,0,0,1575483300,1575483300
2019-12-07,1575781427,0,0,0,1575569700,1575569700
2019-12-08,1576476808,0,0,0,1575656100,1575656100
2019-12-09,1576476808,0,0,0,1575742500,1575742500
2019-12-10,1576476811,0,0,0,1575828900,1575828900
2019-12-11,1576476811,0,0,0,1575915300,1575915300
2019-12-12,1576476812,207,303,0,1576083780,1576114380
2019-12-13,1576476812,96,424,36,1576165560,1576198920
2019-12-14,1576476809,0,0,0,1576174500,1576174500
2019-12-15,1576476809,0,0,0,1576260900,1576260900
2019-12-16,1576669137,93,181,41,1576438200,1576457100
2019-12-17,1576669136,122,246,0,1576521360,1576543440
2019-12-18,1577029640,28,188,16,1576608420,1576622340
2019-12-19,1577029638,124,165,0,1576695960,1576713300
2019-12-20,1577029649,236,268,35,1576778220,1576810560
2019-12-21,1577029645,123,390,0,1576855920,1576886700
2019-12-22,1577029642,130,156,0,1576953060,1576970220
