date,lastSyncTime,deepSleepTime,shallowSleepTime,wakeTime,start,stop
2020-02-23,1582506480,0,0,0,1582308900,1582308900
2020-02-24,1582657561,114,299,0,1582478760,1582503540
2020-02-25,1582657561,102,208,3,1582573560,1582592340
2020-02-26,1582766281,111,214,54,1582653000,1582675740
2020-02-27,1583323484,56,188,0,1582747320,1582761960
2020-02-28,1583323488,98,329,2,1582828980,1582854720
2020-02-29,1583323491,145,368,44,1582910280,1582943700
2020-03-01,1583323497,37,133,0,1583006100,1583016300
2020-03-02,1583323505,98,148,0,1583089740,1583104500
2020-03-03,1583323532,135,211,3,1583170200,1583191140
2020-03-04,1583463120,158,231,0,1583250000,1583273340
2020-03-05,1583463121,69,174,0,1583349600,1583364180
2020-03-06,1583469540,220,286,0,1583425680,1583456040
2020-02-23,1582506480,0,0,0,1582308900,1582308900
2020-02-24,1582657561,114,299,0,1582478760,1582503540
2020-02-25,1582657561,102,208,3,1582573560,1582592340
2020-02-26,1582766281,111,214,54,1582653000,1582675740
2020-02-27,1583323484,56,188,0,1582747320,1582761960
2020-02-28,1583323488,98,329,2,1582828980,1582854720
2020-02-29,1583323491,145,368,44,1582910280,1582943700
2020-03-01,1583323497,37,133,0,1583006100,1583016300
2020-03-02,1583323505,98,148,0,1583089740,1583104500
2020-03-03,1583323532,135,211,3,1583170200,1583191140
2020-03-04,1583463120,158,231,0,1583250000,1583273340
2020-03-05,1583463121,69,174,0,1583349600,1583364180
2020-03-06,1583469540,220,286,0,1583425680,1583456040
