date,lastSyncTime,deepSleepTime,shallowSleepTime,wakeTime,start,stop
2019-11-30,1575256876,0,0,0,1574964900,1574964900
2019-12-01,1575781430,197,318,0,1575126900,1575157800
2019-12-02,1575781430,0,0,0,1575137700,1575137700
2019-12-03,1575781428,0,0,0,1575224100,1575224100
2019-12-04,1575781427,142,225,0,1575398100,1575420120
2019-12-05,1575781429,0,0,0,1575396900,1575396900
2019-12-06,1575781428,0,0,0,1575483300,1575483300
2019-12-07,1575781427,0,0,0,1575569700,1575569700
2019-12-08,1576476808,0,0,0,1575656100,1575656100
2019-12-09,1576476808,0,0,0,1575742500,1575742500
2019-12-10,1576476811,0,0,0,1575828900,1575828900
2019-12-11,1576476811,0,0,0,1575915300,1575915300
2019-12-12,1576476812,207,303,0,1576083780,1576114380
2019-12-13,1576476812,96,424,36,1576165560,1576198920
2019-12-14,1576476809,0,0,0,1576174500,1576174500
2019-12-15,1576476809,0,0,0,1576260900,1576260900
2019-12-16,1576669137,93,181,41,1576438200,1576457100
2019-12-17,1576669136,122,246,0,1576521360,1576543440
2019-12-18,1577029640,28,188,16,1576608420,1576622340
2019-12-19,1577029638,124,165,0,1576695960,1576713300
2019-12-20,1577029649,236,268,35,1576778220,1576810560
2019-12-21,1577029645,123,390,0,1576855920,1576886700
2019-12-22,1577507347,130,156,0,1576953060,1576970220
2019-12-23,1577507348,199,432,26,1577030520,1577069940
2019-12-24,1577507347,127,268,35,1577131680,1577157480
2019-12-25,1577507345,140,294,0,1577205060,1577231100
2019-12-26,1577507344,107,288,0,1577306880,1577330580
2019-12-27,1577507346,154,383,0,1577379120,1577411340
2019-12-28,1577750954,126,382,23,1577468820,1577500680
2019-12-29,1577750953,155,246,0,1577560560,1577584620
2019-12-30,1577750955,144,243,0,1577642700,1577665920
2019-12-31,1578304169,209,378,0,1577715480,1577750700
2020-01-01,1578304165,89,260,0,1577812680,1577833620
2020-01-02,1578304166,157,214,0,1577904960,1577927220
2020-01-03,1578304167,174,209,28,1577988540,1578013200
2020-01-04,1578304168,76,240,0,1578075540,1578094500
2020-01-05,1578304168,220,352,0,1578150300,1578184620
2020-01-06,1578539535,123,316,0,1578243180,1578269520
2020-01-07,1578539536,115,362,0,1578336480,1578365100
2020-01-08,1578539537,91,377,23,1578421740,1578451200
2020-01-09,1579134157,156,327,0,1578506700,1578535680
2020-01-10,1579134153,104,387,0,1578589980,1578619440
2020-01-11,1579134153,127,255,0,1578683460,1578706380
2020-01-12,1579134154,178,277,0,1578763680,1578790980
2020-01-13,1579134154,149,355,0,1578853320,1578883560
2020-01-14,1579134155,208,272,10,1578940380,1578969780
2020-01-15,1579134156,179,216,0,1579030740,1579054440
2020-01-16,1580695985,151,343,0,1579103400,1579133040
2020-01-17,1580695986,212,345,0,1579194360,1579227780
2020-01-18,1580695988,219,340,0,1579278300,1579311840
2020-01-19,1580695990,61,113,0,1579386600,1579397040
2020-01-20,1580695978,176,444,0,1579444440,1579481640
2020-01-21,1580695979,174,263,0,1579541160,1579567380
2020-01-22,1580695980,178,392,0,1579619520,1579653720
2020-01-23,1580695981,162,305,0,1579716960,1579744980
2020-01-24,1580695983,129,351,0,1579797660,1579826460
2020-01-25,1580695984,170,281,0,1579888440,1579915500
2020-01-26,1580695984,144,281,0,1579973580,1579999080
2020-01-27,1580695986,170,491,2,1580049960,1580089740
2020-01-28,1580695987,98,328,76,1580140380,1580170500
2020-01-29,1580695989,96,245,0,1580240400,1580260860
2020-01-30,1580695976,133,351,14,1580320200,1580350080
2020-01-31,1580695979,120,272,0,1580405220,1580428740
2020-02-01,1580695981,146,419,0,1580486280,1580520180
2020-02-02,1580695982,118,185,0,1580580000,1580598180
2019-11-30,1575256876,0,0,0,1574964900,1574964900
2019-12-01,1575781430,197,318,0,1575126900,1575157800
2019-12-02,1575781430,0,0,0,1575137700,1575137700
2019-12-03,1575781428,0,0,0,1575224100,1575224100
2019-12-04,1575781427,142,225,0,1575398100,1575420120
2019-12-05,1575781429,0,0,0,1575396900,1575396900
2019-12-06,1575781428,0,0,0,1575483300,1575483300
2019-12-07,1575781427,0,0,0,1575569700,1575569700
2019-12-08,1576476808,0,0,0,1575656100,1575656100
2019-12-09,1576476808,0,0,0,1575742500,1575742500
2019-12-10,1576476811,0,0,0,1575828900,1575828900
2019-12-11,1576476811,0,0,0,1575915300,1575915300
2019-12-12,1576476812,207,303,0,1576083780,1576114380
2019-12-13,1576476812,96,424,36,1576165560,1576198920
2019-12-14,1576476809,0,0,0,1576174500,1576174500
2019-12-15,1576476809,0,0,0,1576260900,1576260900
2019-12-16,1576669137,93,181,41,1576438200,1576457100
2019-12-17,1576669136,122,246,0,1576521360,1576543440
2019-12-18,1577029640,28,188,16,1576608420,1576622340
2019-12-19,1577029638,124,165,0,1576695960,1576713300
2019-12-20,1577029649,236,268,35,1576778220,1576810560
2019-12-21,1577029645,123,390,0,1576855920,1576886700
2019-12-22,1577507347,130,156,0,1576953060,1576970220
2019-12-23,1577507348,199,432,26,1577030520,1577069940
2019-12-24,1577507347,127,268,35,1577131680,1577157480
2019-12-25,1577507345,140,294,0,1577205060,1577231100
2019-12-26,1577507344,107,288,0,1577306880,1577330580
2019-12-27,1577507346,154,383,0,1577379120,1577411340
2019-12-28,1577750954,126,382,23,1577468820,1577500680
2019-12-29,1577750953,155,246,0,1577560560,1577584620
2019-12-30,1577750955,144,243,0,1577642700,1577665920
2019-12-31,1578304169,209,378,0,1577715480,1577750700
2020-01-01,1578304165,89,260,0,1577812680,1577833620
2020-01-02,1578304166,157,214,0,1577904960,1577927220
2020-01-03,1578304167,174,209,28,1577988540,1578013200
2020-01-04,1578304168,76,240,0,1578075540,1578094500
2020-01-05,1578304168,220,352,0,1578150300,1578184620
2020-01-06,1578539535,123,316,0,1578243180,1578269520
2020-01-07,1578539536,115,362,0,1578336480,1578365100
2020-01-08,1578539537,91,377,23,1578421740,1578451200
2020-01-09,1579134157,156,327,0,1578506700,1578535680
2020-01-10,1579134153,104,387,0,1578589980,1578619440
2020-01-11,1579134153,127,255,0,1578683460,1578706380
2020-01-12,1579134154,178,277,0,1578763680,1578790980
2020-01-13,1579134154,149,355,0,1578853320,1578883560
2020-01-14,1579134155,208,272,10,1578940380,1578969780
2020-01-15,1579134156,179,216,0,1579030740,1579054440
2020-01-16,1580695985,151,343,0,1579103400,1579133040
2020-01-17,1580695986,212,345,0,1579194360,1579227780
2020-01-18,1580695988,219,340,0,1579278300,1579311840
2020-01-19,1580695990,61,113,0,1579386600,1579397040
2020-01-20,1580695978,176,444,0,1579444440,1579481640
2020-01-21,1580695979,174,263,0,1579541160,1579567380
2020-01-22,1580695980,178,392,0,1579619520,1579653720
2020-01-23,1580695981,162,305,0,1579716960,1579744980
2020-01-24,1580695983,129,351,0,1579797660,1579826460
2020-01-25,1580695984,170,281,0,1579888440,1579915500
2020-01-26,1580695984,144,281,0,1579973580,1579999080
2020-01-27,1580695986,170,491,2,1580049960,1580089740
2020-01-28,1580695987,98,328,76,1580140380,1580170500
2020-01-29,1580695989,96,245,0,1580240400,1580260860
2020-01-30,1580695976,133,351,14,1580320200,1580350080
2020-01-31,1580695979,120,272,0,1580405220,1580428740
2020-02-01,1580695981,146,419,0,1580486280,1580520180
2020-02-02,1580695982,118,185,0,1580580000,1580598180
