Date,Steps,Distance,Calories Burned
1/1/2020,0,0,"1,561"
2/1/2020,"5,169",3.83,"2,201"
3/1/2020,"8,569",6.11,"2,519"
4/1/2020,"6,527",4.58,"2,407"
5/1/2020,"6,107",4.28,"2,334"
6/1/2020,"7,445",5.22,"2,616"
7/1/2020,"4,790",3.36,"2,200"
8/1/2020,"7,649",5.36,"2,543"
9/1/2020,"8,255",5.81,"2,462"
10/1/2020,"7,433",5.27,"2,351"
11/1/2020,"8,363",5.86,"2,494"
12/1/2020,"7,861",5.6,"2,622"
13-01-2020,"8,732",6.12,"2,722"
14-01-2020,"6,652",4.66,"2,432"
15-01-2020,"12,001",8.7,"2,768"
16-01-2020,"6,246",4.38,"2,348"
17-01-2020,"5,591",3.75,"2,600"
18-01-2020,"5,331",3.74,"2,353"
19-01-2020,"5,374",3.63,"2,284"
20-01-2020,"8,694",5.97,"2,666"
21-01-2020,"8,546",5.89,"2,504"
22-01-2020,"8,688",5.94,"2,541"
23-01-2020,"8,763",6.4,"2,583"
24-01-2020,"6,960",5.53,"2,331"
25-01-2020,"7,380",5.25,"2,329"
26-01-2020,"11,156",7.73,"2,899"
27-01-2020,"11,779",8.6,"2,953"
28-01-2020,"6,553",4.71,"2,452"
29-01-2020,"12,934",8.95,"2,997"
30-01-2020,"11,358",7.99,"2,709"
31-01-2020,"10,980",7.81,"2,784"
