,date,steps,distance,runDistance,calories,heartRate
0,2020-02-23,6114.0,4053.0,393.0,126.0,90.68181818181819
1,2020-02-24,14300.0,10073.0,812.0,332.0,
2,2020-02-25,4691.0,3020.0,350.0,94.0,
3,2020-02-26,13241.0,9014.0,967.0,294.0,93.5
4,2020-02-27,10501.0,7236.0,640.0,237.0,77.0
5,2020-02-28,4373.0,2843.0,259.0,88.0,
6,2020-02-29,7882.0,5613.0,288.0,183.0,86.0
7,2020-03-01,13334.0,9252.0,698.0,296.0,85.33333333333333
8,2020-03-02,10658.0,7414.0,724.0,257.0,76.33333333333333
9,2020-03-03,9388.0,6551.0,528.0,221.0,74.66666666666667
10,2020-03-04,10835.0,7342.0,986.0,233.0,87.8
11,2020-03-05,12757.0,8755.0,561.0,287.0,75.83333333333333
12,2020-03-06,4586.0,4485.0,215.0,145.0,77.0
