date,time,heartRate
7/1/2019,14:54,73
7/2/2019,14:55,82
7/3/2019,14:56,71
7/4/2019,15:00,66
7/5/2019,15:06,106
7/6/2019,15:07,65
7/7/2019,15:09,65
7/8/2019,16:26,116
7/9/2019,19:19,78
7/10/2019,20:20,120
7/11/2019,20:21,104
7/12/2019,20:22,71
7/13/2019,5:47,70
7/14/2019,5:48,68
7/15/2019,7:54,64
7/16/2019,8:36,64
7/17/2019,8:38,104
7/18/2019,11:26,86
7/19/2019,11:27,102
7/20/2019,11:28,86
7/21/2019,13:36,78
7/22/2019,16:20,115
7/23/2019,16:21,79
7/24/2019,13:13,71
7/25/2019,13:19,63
7/26/2019,16:38,94
7/27/2019,18:31,96
7/28/2019,22:57,80
7/29/2019,9:16,98
7/30/2019,9:17,64
7/31/2019,11:47,74
8/1/2019,14:57,55
8/2/2019,17:52,55
8/3/2019,17:59,73
8/4/2019,12:59,93
8/5/2019,13:11,73
8/6/2019,14:39,74
8/7/2019,18:26,56
8/8/2019,18:48,105
8/9/2019,6:44,93
8/10/2019,6:45,93
8/11/2019,7:24,132
8/12/2019,8:12,121
8/13/2019,8:32,74
8/14/2019,10:45,55
8/15/2019,8:38,97
8/16/2019,9:22,54
8/17/2019,11:37,80
8/18/2019,10:38,48
8/19/2019,15:05,64
8/20/2019,20:35,76
8/21/2019,20:36,106
8/22/2019,7:47,94
8/23/2019,11:52,55
8/24/2019,11:53,81
8/25/2019,19:01,73
8/26/2019,19:12,86
8/27/2019,19:13,74
8/28/2019,6:57,89
8/29/2019,9:21,88
8/30/2019,6:02,76
8/31/2019,6:29,94
9/1/2019,1:11,75
9/2/2019,0:14,77
9/3/2019,6:48,94
9/4/2019,7:45,86
9/5/2019,22:09,81
9/6/2019,4:44,72
9/7/2019,17:23,86
9/8/2019,7:18,106
9/9/2019,9:05,94
9/10/2019,11:18,55
9/11/2019,12:35,81
9/12/2019,21:31,73
9/13/2019,13:23,86
9/14/2019,19:48,74
9/15/2019,21:34,106
9/16/2019,7:31,94
9/17/2019,7:32,65
9/18/2019,9:30,81
9/19/2019,13:15,73
9/20/2019,16:38,86
9/21/2019,16:39,74
9/22/2019,22:34,86
9/23/2019,7:59,81
9/24/2019,10:37,72
9/25/2019,17:16,86
9/26/2019,21:28,74
9/27/2019,21:29,55
9/28/2019,10:14,55
9/29/2019,16:22,73
9/30/2019,18:19,93
10/1/2019,18:29,73
10/2/2019,18:51,74
10/3/2019,18:52,56
10/4/2019,19:50,105
10/5/2019,19:51,93
10/6/2019,22:51,74
10/7/2019,0:36,55
10/8/2019,15:32,74
10/9/2019,7:06,56
10/10/2019,7:20,105
10/11/2019,23:52,93
10/12/2019,17:56,74
10/13/2019,6:59,55
10/14/2019,22:10,105
10/15/2019,0:15,93
10/16/2019,9:34,80
10/17/2019,9:58,98
10/18/2019,22:36,64
10/19/2019,22:37,74
10/20/2019,3:41,55
10/21/2019,10:51,55
10/22/2019,8:11,73
10/23/2019,7:13,93
10/24/2019,7:14,73
10/25/2019,11:32,74
10/26/2019,13:51,56
10/27/2019,0:04,105
10/28/2019,16:22,93
10/29/2019,8:30,93
10/30/2019,13:21,132
10/31/2019,20:58,121
11/1/2019,20:59,74
11/2/2019,9:40,55
11/3/2019,11:49,97
11/4/2019,12:40,54
11/5/2019,19:43,80
11/6/2019,6:08,48
11/7/2019,15:54,64
11/8/2019,16:55,76
11/9/2019,16:56,102
11/10/2019,14:09,86
11/11/2019,13:27,78
11/12/2019,13:24,115
11/13/2019,13:51,79
11/14/2019,12:51,102
11/15/2019,22:10,86
11/16/2019,22:31,78
11/17/2019,13:55,115
11/18/2019,22:51,79
11/19/2019,7:04,71
11/20/2019,20:16,63
11/21/2019,20:17,94
11/22/2019,10:13,74
11/23/2019,10:14,55
11/24/2019,10:16,55
11/25/2019,20:20,73
11/26/2019,20:21,93
11/27/2019,20:22,73
11/28/2019,5:47,74
11/29/2019,5:48,56
11/30/2019,7:54,105
12/1/2019,8:36,93
12/2/2019,8:38,79
12/3/2019,11:26,102
12/4/2019,11:27,86
12/5/2019,11:28,78
12/6/2019,13:36,79
12/7/2019,16:20,102
12/8/2019,16:21,86
12/9/2019,13:13,78
12/10/2019,13:19,115
12/11/2019,16:38,79
12/12/2019,18:31,102
12/13/2019,22:57,86
12/14/2019,9:16,78
12/15/2019,9:17,115
12/16/2019,11:47,79
12/17/2019,14:57,112
12/18/2019,17:52,98
12/19/2019,17:59,86
12/20/2019,12:59,78
12/21/2019,13:11,115
12/22/2019,14:39,79
12/23/2019,18:26,71
12/24/2019,18:48,63
12/25/2019,6:44,94
12/26/2019,6:45,102
12/27/2019,7:24,86
12/28/2019,8:12,78
12/29/2019,8:32,115
12/30/2019,10:45,79
12/31/2019,8:38,71
1/1/2020,9:22,63
1/2/2020,11:37,94
1/3/2020,10:38,115
1/4/2020,15:05,79
1/5/2020,20:35,71
1/6/2020,20:36,63
1/7/2020,7:47,94
1/8/2020,11:52,73
1/9/2020,11:53,74
1/10/2020,19:01,71
1/11/2020,19:12,63
1/12/2020,19:13,94
1/13/2020,6:57,55
1/14/2020,9:21,73
1/15/2020,6:02,93
1/16/2020,6:29,73
1/17/2020,1:11,73
1/18/2020,0:14,93
1/19/2020,6:48,73
1/20/2020,7:45,74
1/21/2020,22:09,73
1/22/2020,4:44,115
1/23/2020,17:23,79
1/24/2020,7:18,71
1/25/2020,9:05,63
1/26/2020,11:18,94
1/27/2020,12:35,55
1/28/2020,21:31,73
1/29/2020,13:23,93
1/30/2020,19:48,73
1/31/2020,21:34,74
2/1/2020,7:31,66
