date,lastSyncTime,deepSleepTime,shallowSleepTime,wakeTime,start,stop
2019-07-01,1562035400,0,0,0,1561832100,1561832100
2019-07-02,1562124981,112,269,0,1562011920,1562034780
2019-07-03,1562385534,83,325,5,1562099640,1562124420
2019-07-04,1562385534,66,329,10,1562186520,1562210820
2019-07-05,1562385535,61,236,9,1562270340,1562288700
2019-07-06,1562471807,85,352,5,1562355840,1562382360
2019-07-07,1562549020,34,392,10,1562445180,1562471340
2019-07-08,1562727990,22,297,5,1562528640,1562548080
2019-07-09,1562727990,117,215,0,1562614500,1562634420
2019-07-10,1562901461,70,270,8,1562706420,1562727300
2019-07-11,1562901461,89,255,6,1562786100,1562807100
2019-07-12,1562991697,43,227,7,1562878920,1562895540
2019-07-13,1563608840,95,262,2,1562970300,1562991840
2019-07-14,1563608840,116,235,0,1563045480,1563066540
2019-07-15,1563608841,125,303,2,1563133980,1563159780
2019-07-16,1563608841,116,232,3,1563218640,1563239700
2019-07-17,1563608841,50,336,7,1563303660,1563327240
2019-07-18,1563608841,63,165,0,1563393900,1563407580
2019-07-19,1563608842,78,266,2,1563478740,1563499500
2019-07-20,1564193913,146,331,0,1563565980,1563594600
2019-07-21,1564193913,89,191,0,1563652200,1563669000
2019-07-22,1564193913,109,120,0,1563739260,1563753000
2019-07-23,1564193914,110,211,7,1563824820,1563844500
2019-07-24,1564193914,25,215,2,1563913380,1563927900
2019-07-25,1564193914,35,278,4,1564002960,1564021980
2019-07-26,1564193915,90,193,6,1564086360,1564103700
2019-07-27,1564330178,135,283,6,1564167960,1564193400
2019-07-28,1564630817,13,186,0,1564259400,1564271340
2019-07-29,1564630817,115,203,0,1564343820,1564362900
2019-07-30,1564630817,13,292,10,1564430400,1564449300
2019-07-31,1564630817,35,444,52,1564513620,1564545480
2019-08-01,1564757639,54,342,9,1564603500,1564627800
2019-08-02,1564980444,81,325,6,1564692240,1564716960
2019-08-03,1564980445,86,365,16,1564772880,1564800900
2019-08-04,1564980444,61,340,6,1564865880,1564890300
2019-08-05,1565383088,72,398,7,1564946820,1564975440
2019-08-06,1565383089,52,344,5,1565037720,1565061780
2019-08-07,1565383089,83,147,0,1565127780,1565141580
2019-08-08,1565383090,65,210,58,1565210640,1565230620
2019-08-09,1565383090,43,302,5,1565298540,1565319540
2019-08-10,1565499289,70,331,2,1565384520,1565408700
2019-08-11,1565842664,55,364,6,1565473020,1565498520
2019-08-12,1565842664,90,261,0,1565559780,1565580840
2019-08-13,1565842664,77,290,2,1565646300,1565668440
2019-08-14,1565842665,67,166,8,1565729760,1565744220
2019-08-15,1565927900,46,396,5,1565814900,1565841720
2019-08-16,1565983188,61,260,0,1565908380,1565927640
2019-08-17,1566089994,65,307,7,1565990400,1566013140
2019-08-18,1566181812,17,194,0,1566075420,1566088080
2019-08-19,1566359534,121,256,7,1566158400,1566181440
2019-08-20,1566359535,98,274,6,1566252060,1566274740
2019-08-21,1566618734,63,308,5,1566336360,1566358920
2019-08-22,1566618734,48,193,0,1566421020,1566435480
2019-08-23,1566618734,72,336,0,1566508800,1566533280
2019-08-24,1566706855,79,310,5,1566594960,1566618600
2019-08-25,1567313475,71,277,3,1566684780,1566705840
2019-08-26,1567313475,81,130,0,1566768480,1566781140
2019-08-27,1567313475,20,416,7,1566853560,1566880140
2019-08-28,1567313475,65,326,2,1566941580,1566965160
2019-08-29,1567313476,41,357,8,1567027560,1567051920
2019-08-30,1567313476,32,130,0,1567114740,1567124460
2019-08-31,1567313476,36,363,0,1567201740,1567225680
2019-09-01,1567572412,92,345,5,1567286460,1567312980
2019-09-02,1567572413,80,326,10,1567371660,1567396620
2019-09-03,1567572413,52,389,4,1567453800,1567480500
2019-09-04,1567654988,86,309,0,1567545600,1567569300
2019-09-05,1567743980,71,316,31,1567628400,1567653480
2019-09-06,1567827112,61,370,82,1567713120,1567743900
2019-09-07,1568003532,129,303,9,1567799760,1567826220
2019-09-08,1568003533,140,243,5,1567891080,1567914360
2019-09-09,1568091768,110,342,36,1567973940,1568003220
2019-09-10,1568175915,17,175,0,1568060700,1568072220
2019-09-11,1568355735,165,264,7,1568149380,1568175540
2019-09-12,1568355735,146,314,5,1568234220,1568262120
2019-09-13,1568521616,113,331,10,1568319960,1568347200
2019-09-14,1568521616,95,319,8,1568409540,1568434860
2019-09-15,1568692207,151,269,6,1568495880,1568521440
2019-09-16,1569123914,71,382,6,1568577420,1568604960
2019-09-17,1569123914,102,320,7,1568666100,1568691840
2019-09-18,1569123915,94,267,9,1568747340,1568769540
2019-09-19,1569123915,103,202,0,1568836380,1568854680
2019-09-20,1569123915,65,256,5,1568928540,1568948100
2019-09-21,1569123915,108,327,6,1569008880,1569035340
2019-09-22,1569215597,99,253,5,1569094080,1569115500
2019-09-23,1569301574,114,332,6,1569184740,1569211860
2019-09-24,1569384534,62,354,13,1569271980,1569297720
2019-09-25,1569729339,23,358,7,1569357720,1569381000
2019-09-26,1569729339,84,255,8,1569440340,1569461160
2019-09-27,1569729339,138,331,6,1569528840,1569557340
2019-09-28,1569729339,51,358,10,1569618900,1569644040
2019-09-29,1569919536,125,330,10,1569701100,1569729000
2019-09-30,1569919536,96,265,5,1569790500,1569812460
2019-10-01,1570034733,92,227,0,1569882120,1569901260
2019-10-02,1570076099,107,242,8,1569965580,1569987000
2019-10-03,1570162437,63,293,0,1570049760,1570071120
2019-10-04,1571459129,121,183,0,1570138920,1570157160
2019-10-05,1571459130,27,227,8,1570228680,1570244400
2019-10-06,1571459130,47,471,71,1570305180,1570340520
2019-10-07,1571459130,106,230,9,1570399440,1570420140
2019-10-08,1571459130,63,305,5,1570480860,1570503240
2019-10-09,1571459131,34,355,27,1570570140,1570595100
2019-10-10,1571459131,48,308,0,1570655580,1570676940
2019-10-11,1571459131,33,312,8,1570742280,1570763460
2019-10-12,1571459131,71,368,9,1570822680,1570849560
2019-10-13,1571459131,18,315,0,1570915440,1570935420
2019-10-14,1571459132,120,339,10,1570995900,1571024040
2019-10-15,1571459132,106,274,6,1571089320,1571112480
2019-10-16,1571459132,65,375,9,1571170680,1571197620
2019-10-17,1571459132,68,288,15,1571262840,1571285100
2019-10-18,1571459132,144,233,0,1571345700,1571368320
2019-10-19,1571764508,42,422,11,1571430480,1571458980
2019-10-20,1571764509,112,255,0,1571518920,1571540940
2019-10-21,1571764509,93,302,0,1571604000,1571627700
2019-10-22,1572152594,60,215,0,1571683140,1571699640
2019-10-23,1572150847,154,224,0,1571780160,1571802840
2019-10-24,1572150847,104,263,0,1571866800,1571888820
